date,username,to,retweets,text,mentions,permalink,is Noise,clean text,text length,is null,pos_count,neg_count,related?,sentiment,system_count,services_count,reason,Date_Time
2016-07-29 21:33:31,lovetrin1,Not given,0,اسوء بنك في السعوديه #رايك_في_مصرف_الراجحي,Not given,https://twitter.com/lovetrin1/status/759139818672648193,not noise,اسوء بنك في السعوديه رايكفيمصرفالراجحي,38,not null,0,1,related,neutral,0,0,else,2016-07-29 21:33:31
2016-07-29 19:35:31,Reemksaa,Not given,0,#رايك_في_مصرف_الراجحي اختصار للحكي اسوء بنك بـ السعودية,Not given,https://twitter.com/Reemksaa/status/759110121704321024,not noise,رايكفيمصرفالراجحي اختصار لحكي اسوء بنك ب السعوديه,49,not null,0,1,related,negative,0,0,else,2016-07-29 19:35:31
2016-07-29 14:00:18,a77_abdulaziz,Not given,14,#رايك_في_مصرف_الراجحي اسوء بنك في السعودية و الخيارات كثيرة و على رأسهم بنك الانماء,Not given,https://twitter.com/a77_abdulaziz/status/759025762930491392,not noise,رايكفيمصرفالراجحي اسوء بنك في السعوديه و الخيارات كثيره و علي راسهم بنك الانماء,79,not null,0,1,related,negative,0,0,else,2016-07-29 14:00:18
2016-06-29 21:29:19,weeabo966,Not given,0,بنك الراجحي اسوء بنك في السعودية رغم ان ثرواتهم بميليارات,Not given,https://twitter.com/weeabo966/status/748267123500257280,not noise,بنك الراجحي اسوء بنك في السعوديه رغم ان ثرواتهم بميليارات,57,not null,0,1,related,negative,0,0,else,2016-06-29 21:29:19
2016-06-15 3:56:43,amr9114,Not given,1,#اسوا_بنك_في_رايك وهل يخفى القمر بكل تاكيد مصرف الراجحي من اسوء البنوك السعودية من دون منافس له,Not given,https://twitter.com/amr9114/status/742928798778298373,not noise,اسوابنكفيرايك وهل يخفي القمر بكل تاكيد مصرف الراجحي من اسوء البنوك السعوديه من دون منافس له,91,not null,0,1,related,negative,0,0,else,2016-06-15 03:56:43
2016-05-18 9:40:14,strongdivel,AlRajhiBank,1,اسوء خدمات في السعوديه بنك الراجحي راتبي ينزل عندكم من خمسه سنين وجيت ابغى اطلع قالوا الشركة مو متعاقده معانا طيب وحق العشره,Not given,https://twitter.com/strongdivel/status/732868389182509056,not noise,اسوء خدمات في السعوديه بنك الراجحي راتبي ينزل عندكم من خمسه سنين وجيت ابغي اطلع قالوا الشركه مو متعاقده معانا طيب وحق العشره,124,not null,0,1,related,negative,0,0,else,2016-05-18 09:40:14
2016-01-17 9:28:58,Joudista,Not given,0,@AlRajhiBank قمة التخلف في هذا البنك اللي دائماً يثبت لي انه اسوء بنك في السعودية، وقت الصلاة يتقفل الباب ويمنع الدخول ماختلفنا ولكن ..يتبع,@AlRajhiBank,https://twitter.com/Joudista/status/688654231721631744,not noise,قمه التخلف في هذا البنك الي دائماً يثبت لي انه اسوء بنك في السعوديه وقت الصلاه يتقفل الباب ويمنع الدخول ماختلفنا ولكن يتبع,123,not null,0,1,related,negative,0,0,else,2016-01-17 09:28:58
2015-09-10 12:45:30,duna88999,asalwafe,0,@asalwafe @altuwaim_s اسوء بنك في السعودية الراجحي في جميع فروعه اذا تبي بنك اسلامي ( الانماء - البلاد ),@asalwafe @altuwaim_s,https://twitter.com/duna88999/status/641955659521507328,not noise,اسوء بنك في السعوديه الراجحي في جميع فروعه اذا تبي بنك اسلامي الانماء البلاد,78,not null,2,1,related,neutral,0,0,else,2015-09-10 12:45:30
2015-06-11 14:19:20,HASSAN_ALRUBEI,Not given,0,غيرة المنافسين من الراجحي ولاكن نقول القافلة تسير والكلاب تنبح #الراجحي_أسوء_بنك_في_السعودية,Not given,https://twitter.com/HASSAN_ALRUBEI/status/609001974164406272,not noise,غيره المنافسين من الراجحي ولاكن نقول القافله تسير والكلاب تنبح الراجحياسوءبنكفيالسعوديه,87,not null,0,1,related,negative,0,0,else,2015-06-11 14:19:20
2015-06-11 14:18:11,HASSAN_ALRUBEI,Not given,0,تاريخ بنك البلاد بتاريخ احد فروع الراجحي #الراجحي_أسوء_بنك_في_السعودية,Not given,https://twitter.com/HASSAN_ALRUBEI/status/609001688775561216,not noise,تاريخ بنك البلاد بتاريخ احد فروع الراجحي الراجحياسوءبنكفيالسعوديه,65,not null,0,1,related,neutral,0,0,else,2015-06-11 14:18:11
2015-06-10 19:04:08,asa99mmm,Not given,0,#الراجحي_يقطع_راتب_عسكري ليست بغريبة على الراجحي،الراجحي أسوء بنك في السعودية.,Not given,https://twitter.com/asa99mmm/status/608711262646620161,not noise,الراجحيقطعراتبعسكري ليست بغريبه علي الراجحيالراجحي اسوء بنك في السعوديه,71,not null,0,1,related,negative,0,0,else,2015-06-10 19:04:08
2015-06-10 18:15:53,mneef3,Not given,0,#الراجحي_أسوء_بنك_في_السعودية بعد مخالفة امر الملك وبأعتراف منهم بالبيان يزيدون الطين بله بكشف اسرار عميل ويقولون عنده حساب ثاني وش دخلكم!,Not given,https://twitter.com/mneef3/status/608699117565411328,not noise,الراجحياسوءبنكفيالسعوديه بعد مخالفه امر الملك وباعتراف منهم بالبيان يزيدون الطين بله بكشف اسرار عميل ويقولون عنده حساب ثاني وش دخلكم,132,not null,0,1,related,negative,0,0,else,2015-06-10 18:15:53
2015-06-09 16:42:54,ALharbi_naser1,AlRajhiBank,0,@AlRajhiBank هذا الي طلع منكم #الراجحي_يقطع_راتب_عسكري #الراجحي_أسوء_بنك_في_السعودية https://youtu.be/XUbZPiTq4XQ,@AlRajhiBank,https://twitter.com/ALharbi_naser1/status/608313330109923328,not noise,هذا الي طلع منكم الراجحيقطعراتبعسكري الراجحياسوءبنكفيالسعوديه,63,not null,0,1,related,negative,0,0,else,2015-06-09 16:42:54
2015-05-14 13:21:50,malharbi55,Not given,0,اتعس واخس بنك اللي لازم تراجعه اكثر من مره عشان تخلص لك شغله وحده بس #الراجحي #الراجحي_أسوء_بنك_في_السعودية,Not given,https://twitter.com/malharbi55/status/598840645902467072,not noise,اتعس واخس بنك الي لازم تراجعه اكثر من مره عشان تخلص لك شغله وحده بس الراجحي الراجحياسوءبنكفيالسعوديه,100,not null,0,1,related,negative,0,0,else,2015-05-14 13:21:50
2015-05-11 21:27:38,sdht20,Not given,0,بنك الراجحي لن يتأدب الا بمقاطعة توصل له فكرة انه ليس البنك الوحيد في السعودية #الراجحي_أسوء_بنك_في_السعودية,Not given,https://twitter.com/sdht20/status/597875736590954496,not noise,بنك الراجحي لن يتادب الا بمقاطعه توصل له فكره انه ليس البنك الوحيد في السعوديه الراجحياسوءبنكفيالسعوديه,103,not null,0,1,related,negative,0,0,else,2015-05-11 21:27:38
2015-04-19 14:56:33,Z3eem_Raeg,Not given,0,بنك الراجحي اسوء بنك في السعوديه #فصل_موظف_الراجحي,Not given,https://twitter.com/Z3eem_Raeg/status/589804786423201792,not noise,بنك الراجحي اسوء بنك في السعوديه فصلموظفالراجحي,47,not null,0,1,related,neutral,0,0,else,2015-04-19 14:56:33
2015-02-13 15:40:10,Hsn_Al_Qahtani,HussainMohamd,0,@HussainMohamd @AlRajhiBank من واقع تجربة اسوء بنك في المملكة العربية السعودية اذا استطعت ان تهرب منه ففعل.,@HussainMohamd @AlRajhiBank,https://twitter.com/Hsn_Al_Qahtani/status/566260550540095489,not noise,من واقع تجربه اسوء بنك في الملكه العربيه السعوديه اذا استطعت ان تهرب منه فعل,77,not null,0,1,related,negative,0,0,else,2015-02-13 15:40:10
2015-01-10 19:49:09,RoO7i1,Not given,1,الراجحي فشل يتعدى الحدود #الراجحي_أسوء_بنك_في_السعودية,Not given,https://twitter.com/RoO7i1/status/554002020403650561,not noise,الراجحي فشل يتعدي الحدود الراجحياسوءبنكفيالسعوديه,49,not null,0,2,related,negative,0,0,else,2015-01-10 19:49:09
2015-01-08 8:01:31,F_SaudK,Not given,1,اكككره تعقيدات خدماتهم و كل شي فيهم #الراجحي_أسوء_بنك_في_السعودية,Not given,https://twitter.com/F_SaudK/status/553099164507070464,not noise,اكره تعقيدات خدماتهم و كل شي فيهم الراجحياسوءبنكفيالسعوديه,58,not null,0,2,related,negative,0,0,else,2015-01-08 08:01:31
2014-11-30 6:53:24,DonNabil,Not given,0,#بنك_الراجحي من اسوء البنوك كخدمات في السعودية سيئ سيئ لأبعد درجة .. انظمة غريبه ومن جرف لدحديرة كيف كانت وكيف صارت يمدحون #بنك_الرياض,Not given,https://twitter.com/DonNabil/status/538948897255616513,not noise,بنكالراجحي من اسوء البنوك كخدمات في السعوديه سيئ سيئ لابعد درجه انظمه غريبه ومن جرف لدحديره كيف كانت وكيف صارت يمدحون بنكالرياض,127,not null,1,2,related,negative,0,0,else,2014-11-30 06:53:24
2014-07-25 23:52:28,SalehRbea,Not given,0,#الراجحي_أسوء_بنك_في_السعودية ماهي غريبة..متاجرة بالدين,Not given,https://twitter.com/SalehRbea/status/492819703488712704,not noise,الراجحياسوءبنكفيالسعوديه ماهي غريبهمتاجره بالدين,48,not null,0,1,related,negative,0,0,else,2014-07-25 23:52:28
2014-07-24 13:09:51,arefjazza,nayef965,0,@nayef965 @AlRajhiBank اي متميز يا بوجابر من أسوء البنوك في السعودية بنك غير مواكب للعصر,@nayef965 @AlRajhiBank,https://twitter.com/arefjazza/status/492295598876266497,not noise,اي متميز يا بوجابر من اسوء البنوك في السعوديه بنك غير مواكب لعصر,65,not null,0,1,related,positive,0,0,else,2014-07-24 13:09:51
2014-07-24 8:41:36,Sa3mr,Not given,1,#الراجحي_أسوء_بنك_في_السعودية حقيقة عايشتها اليوم,Not given,https://twitter.com/Sa3mr/status/492228089238142976,not noise,الراجحياسوءبنكفيالسعوديه حقيقه عايشتها اليوم,44,not null,0,1,related,negative,0,0,else,2014-07-24 08:41:36
2014-07-24 6:50:36,tnasser31,Not given,1,#الراجحي_أسوء_بنك_في_السعودية اكلم احد الاصدقاء قلت سوف ارفع شكوى ضدهم قال ،هذا بنك الراجحي لن تقدر ولن تستفيد اي شي فقد سوف تضيع وقتك!!,Not given,https://twitter.com/tnasser31/status/492200154607280128,not noise,الراجحياسوءبنكفيالسعوديه اكلم احد الاصدقاء قلت سوف ارفع شكوي ضدهم قال هذا بنك الراجحي لن تقدر ولن تستفيد اي شي فقد سوف تضيع وقتك,128,not null,0,1,related,negative,0,0,else,2014-07-24 06:50:36
2014-07-23 11:29:00,badrshfaqah,Not given,41," الفرع الخامس -شبرا ""نعتذر منك مافيه بطاقات"" @AlRajhiBank اليوم ماعندي شغل غير #الراجحي_أسوء_بنك_في_السعودية ^_^ ",@AlRajhiBank,https://twitter.com/badrshfaqah/status/491907827854635008,not noise,الفرع الخامس شبرا نعتذر منك مافيه بطاقات اليوم ماعندي شغل غير الراجحياسوءبنكفيالسعوديه,88,not null,0,1,related,neutral,0,0,else,2014-07-23 11:29:00
2014-07-23 11:08:15,badrshfaqah,Not given,10,وهذا الفرع الرابع 'الشميسي' لكن مافي موظف يصدر البطاقة ^_^ @AlRajhiBank صدق من قال #الراجحي_أسوء_بنك_في_السعودية,@AlRajhiBank,https://twitter.com/badrshfaqah/status/491902608223637504,not noise,وهذا الفرع الرابع الشميسي لكن مافي موظف يصدر البطاقه صدق من قال الراجحياسوءبنكفيالسعوديه,88,not null,0,1,related,negative,0,0,else,2014-07-23 11:08:15
2014-07-04 22:27:48,amalmal5,Not given,0,من كثر ما احول فلوس وجمعيات من حسابي كرهت بنك الراجحي ودي أغيره بس الإجراءات متعبه وتاخذ وقت #الراجحي_أسوء_بنك_في_السعودية,Not given,https://twitter.com/amalmal5/status/485188251011907585,not noise,من كثر ما احول فلوس وجمعيات من حسابي كرهت بنك الراجحي ودي اغيره بس الاجراءات متعبه وتاخذ وقت الراجحياسوءبنكفيالسعوديه,117,not null,0,1,related,negative,0,0,else,2014-07-04 22:27:48
2014-05-10 9:57:32,KrKrak94,Not given,0,#الراجحي_أسوء_بنك_في_السعودية بنك الراجحي افضل بنك من وجهة نظري وشكرا #بنك_الراجحي_أفضل_بنك_في_السعودية,Not given,https://twitter.com/KrKrak94/status/465068110030974976,not noise,الراجحياسوءبنكفيالسعوديه بنك الراجحي افضل بنك من وجه نظري وشكرا بنكالراجحيافضلبنكفيالسعوديه,91,not null,1,1,related,neutral,0,0,else,2014-05-10 09:57:32
2014-04-30 10:09:20,aak093x,Not given,1,بنك الراجحي أكبر بنك نصاب على مستوى العالم ّّرسوم إدارية 2290ريال والبنوك الأخرى 300ريال استغلال ألناس #الراجحي_أسوء_بنك_في_السعودية,Not given,https://twitter.com/aak093x/status/461447200242171904,not noise,بنك الراجحي اكبر بنك نصاب علي مستوي العالم ّرسوم اداريه 290ريال والبنوك الاخري 30ريال استغلال الناس الراجحياسوءبنكفيالسعوديه,124,not null,0,1,related,negative,0,0,else,2014-04-30 10:09:20
2014-04-26 10:51:16,3yad75,Not given,2,#الراجحي_أسوء_بنك_في_السعودية استغل عدم وجود شفافيه وامتص الفقرا من الشعب تحت حمايه من الفاسدين المنتفعين من مصاص الدما بنك #الراجحي,Not given,https://twitter.com/3yad75/status/460008200386138112,not noise,الراجحياسوءبنكفيالسعوديه استغل عدم وجود شفافيه وامتص الفقرا من الشعب تحت حمايه من الفاسدين المنتفعين من مصاص الدما بنك الراجحي,126,not null,0,1,related,negative,0,0,else,2014-04-26 10:51:16
2014-04-22 15:56:07,11samar,Not given,0,وانا ع ذلك من الشاهدين معاملتهم جداً سيئه #الراجحي_أسوء_بنك_في_السعودية,Not given,https://twitter.com/11samar/status/458635370117468160,not noise,وانا ع ذلك من الشاهدين معاملتهم جداً سيئه الراجحياسوءبنكفيالسعوديه,66,not null,0,2,related,negative,0,0,else,2014-04-22 15:56:07
2014-04-19 12:36:14,alwrraq,Not given,0,#الراجحي_أسوء_بنك_في_السعودية بنكالراجحي منشار نازل واكل طالع واكل ولا يرحم حتى الموتى,Not given,https://twitter.com/alwrraq/status/457497902211166208,not noise,الراجحياسوءبنكفيالسعوديه بنكالراجحي منشار نازل واكل طالع واكل ولا يرحم حتي الموتي,81,not null,0,1,related,negative,0,0,else,2014-04-19 12:36:14
2014-04-13 0:18:26,AlademiH,Not given,0,العربي اولا.. ثم الرياض.. ثم الاهلي ثم الراجحي #الراجحي_أسوء_بنك_في_السعودية,Not given,https://twitter.com/AlademiH/status/455137900192350208,not noise,العربي اولا ثم الرياض ثم الاهلي ثم الراجحي الراجحياسوءبنكفيالسعوديه,67,not null,0,1,related,negative,0,0,else,2014-04-13 00:18:26
2014-04-11 20:46:32,Mr_Almuhana,Not given,0,#الراجحي_أسوء_بنك_في_السعودية شي طبيعي راعية قصمنجي !!,Not given,https://twitter.com/Mr_Almuhana/status/454722189246226432,not noise,الراجحياسوءبنكفيالسعوديه شي طبيعي راعيه قصمنجي,47,not null,0,1,related,negative,0,0,else,2014-04-11 20:46:32
2014-04-10 10:36:21,iOsamaH28,Not given,0,صدق من قال البس يحب خناقه #الراجحي_أسوء_بنك_في_السعودية,Not given,https://twitter.com/iOsamaH28/status/454206240617689088,not noise,صدق من قال البس يحب خناقه الراجحياسوءبنكفيالسعوديه,50,not null,0,1,related,negative,0,0,else,2014-04-10 10:36:21
2014-04-10 10:35:57,iOsamaH28,Not given,0,ما أدري وش مصبركم على ذل هذا البنك ! #الراجحي_أسوء_بنك_في_السعودية,Not given,https://twitter.com/iOsamaH28/status/454206141271388161,not noise,ما ادري وش مصبركم علي ذل هذا البنك الراجحياسوءبنكفيالسعوديه,59,not null,0,1,related,negative,0,0,else,2014-04-10 10:35:57
2014-04-10 10:33:21,AbdA11h,Not given,1,موظفينهم بالواسطة ، متشخصين هذيك الشخصية والشعر طويل وحاط نظارات من زين الخشة. وبرا الددسن لونه وردي(: #الراجحي_أسوء_بنك_في_السعودية,Not given,https://twitter.com/AbdA11h/status/454205487249367040,not noise,موظفينهم بالواسطه متشخصين هذيك الشخصيه والشعر طويل وحاط نظارات من زين الخشه وبرا الدسن لونه وردي الراجحياسوءبنكفيالسعوديه,121,not null,0,1,related,negative,0,0,else,2014-04-10 10:33:21
2014-04-10 10:22:55,AbdA11h,Not given,0,جنبي زميلي يسال وش افضل بنك وهو بالراجحي وأنصحه منه ان يتركها ويروح للأهلي. والحمدلله جاء الهشتاق في وقته #الراجحي_أسوء_بنك_في_السعودية,Not given,https://twitter.com/AbdA11h/status/454202860172214272,not noise,جنبي زميلي يسال وش افضل بنك وهو بالراجحي وانصحه منه ان يتركها ويروح لاهلي والحمدله جاء الهشتاق في وقته الراجحياسوءبنكفيالسعوديه,127,not null,1,1,related,neutral,0,0,else,2014-04-10 10:22:55
2014-04-09 7:44:24,aaalmulaifi,Not given,0,حرامي الشريعة #الراجحي_أسوء_بنك_في_السعودية,Not given,https://twitter.com/aaalmulaifi/status/453800581539581952,not noise,حرامي الشريعه الراجحياسوءبنكفيالسعوديه,38,not null,0,1,related,negative,0,0,else,2014-04-09 07:44:24
2014-04-09 6:37:31,ha1416ha,Not given,0,صرافات المهد بلا فلوس لاأبوه من بنك #الراجحي_أسوء_بنك_في_السعودية,Not given,https://twitter.com/ha1416ha/status/453783750720360448,not noise,صرافات المهد بلا فلوس لابوه من بنك الراجحياسوءبنكفيالسعوديه,59,not null,0,1,related,negative,0,0,else,2014-04-09 06:37:31
2014-04-09 5:07:36,9_Sally,Not given,0,#الراجحي_أسوء_بنك_في_السعودية مااظنه اسوأ من الاهلي اللي كل فتره لازم تحديث للبيانات ولا يجمدون الحساب وجع,Not given,https://twitter.com/9_Sally/status/453761119682052098,not noise,الراجحياسوءبنكفيالسعوديه ماظنه اسوا من الاهلي الي كل فتره لازم تحديث لبيانات ولا يجمدون الحساب وجع,98,not null,0,1,related,negative,0,0,else,2014-04-09 05:07:36
2014-04-09 3:33:45,Maazi4,YAYAQ2011,1,@YAYAQ2011 المواطنون يمشون على انه اسلامي و هو حوش كلاب مسعورة ... #الراجحي_أسوء_بنك_في_السعودية,@YAYAQ2011,https://twitter.com/Maazi4/status/453737502914785280,not noise,المواطنون يمشون علي انه اسلامي و هو حوش كلاب مسعوره الراجحياسوءبنكفيالسعوديه,77,not null,0,1,related,negative,0,0,else,2014-04-09 03:33:45
2014-04-09 3:18:23,Maazi4,Not given,0,#الراجحي_أسوء_بنك_في_السعودية حرامي ما يستحي و فوق القانون ينطبق على عميله مثال ( ططططط ) و متروش بقربتها,Not given,https://twitter.com/Maazi4/status/453733638186627072,not noise,الراجحياسوءبنكفيالسعوديه حرامي ما يستحي و فوق القانون ينطبق علي عميله مثال ط و متروش بقربتها,92,not null,0,1,related,negative,0,0,else,2014-04-09 03:18:23
2014-04-08 21:28:11,baselalmutairii,Not given,1,#الراجحي_أسوء_بنك_في_السعودية الواحد رصيده الف وميتين ويقيٌم البنك ، احمد ربك ضافينك بذا المبلغ و ماعطوك بوك تحط فيه دراهمك,Not given,https://twitter.com/baselalmutairii/status/453645507420631040,not noise,الراجحياسوءبنكفيالسعوديه الواحد رصيده الف وميتين ويقيٌم البنك احمد ربك ضافينك بذا المبلغ و ماعطوك بوك تحط فيه دراهمك,116,not null,0,1,related,negative,0,0,else,2014-04-08 21:28:11
2014-04-08 14:38:17,hani777marzouq,Not given,0,بطبيعة الحال التجربه السيئه تطفوا على السطح اكثر من التجربة المميزه مع ان التجارب المميزه اكثر ...كلمة حق #الراجحي_أسوء_بنك_في_السعودية,Not given,https://twitter.com/hani777marzouq/status/453542350825209856,not noise,بطبيعه الحال التجربه السيئه تطفوا علي السطح اكثر من التجربه الميزه مع ان التجارب الميزه اكثر كلمه حق الراجحياسوءبنكفيالسعوديه,125,not null,0,2,related,positive,0,0,else,2014-04-08 14:38:17
2014-04-08 12:42:33,fahhad2011,Not given,0,الحسنه الوحيده انه متواجد في كل مكان لكن من ناحية المراجعه فهو زحمه وعدم تخليص معاملات المراجعين بسرعه #الراجحي_أسوء_بنك_في_السعودية,Not given,https://twitter.com/fahhad2011/status/453513226010243072,not noise,الحسنه الوحيده انه متواجد في كل مكان لكن من ناحيه المراجعه فهو زحمه وعدم تخليص معاملات المراجعين بسرعه الراجحياسوءبنكفيالسعوديه,127,not null,0,1,related,negative,0,0,else,2014-04-08 12:42:33
2014-04-08 8:47:21,aburaid00,Not given,0,بعض عمﻻء الراجحي حلال تجلده وتعلقه بعرقوبه قدام الفرع. #الراجحي_أسوء_بنك_في_السعودية,Not given,https://twitter.com/aburaid00/status/453454035283349504,not noise,بعض عمﻻء الراجحي حلال تجلده وتعلقه بعرقوبه قدام الفرع الراجحياسوءبنكفيالسعوديه,78,not null,0,1,related,negative,0,0,else,2014-04-08 08:47:21
2014-04-08 8:45:53,aburaid00,Not given,1,مقارنة الراجحي الذي يخدم قريب أربعة مليون عميل ببنوك لم يتجاوز عمﻻئهم مئة الف عميل . مقارنة ظالمة . #الراجحي_أسوء_بنك_في_السعودية,Not given,https://twitter.com/aburaid00/status/453453667912650752,not noise,مقارنه الراجحي الذي يخدم قريب اربعه مليون عميل بنوك لم يتجاوز عمﻻئهم مئه الف عميل مقارنه ظالمه الراجحياسوءبنكفيالسعوديه,119,not null,0,1,related,negative,0,0,else,2014-04-08 08:45:53
2014-04-08 7:07:40,bebe_3ssl,Not given,0,#الراجحي_أسوء_بنك_في_السعودية بالنسبه لقسم النساء بقوه خصوصاً فرع شرق الرياض والحمرا ولله ابيخ فرعين عاد الباقين اكيد اخس ههههههه,Not given,https://twitter.com/bebe_3ssl/status/453428951361552384,not noise,الراجحياسوءبنكفيالسعوديه بالنسبه لقسم النساء بقوه خصوصاً فرع شرق الرياض والحمرا وله ابيخ فرعين عاد الباقين اكيد اخس ه,117,not null,0,1,related,negative,0,0,else,2014-04-08 07:07:40
2014-04-08 5:26:12,AbdullahAlkhmis,Not given,0,#الراجحي_أسوء_بنك_في_السعودية جميع البنوك سيئة بلا استثناء لكن الراجحي أسوء السيئين.,Not given,https://twitter.com/AbdullahAlkhmis/status/453403413611823104,not noise,الراجحياسوءبنكفيالسعوديه جميع البنوك سيئه بلا استثناء لكن الراجحي اسوء السيئين,78,not null,0,3,related,negative,0,0,else,2014-04-08 05:26:12
2014-04-07 20:13:25,aljyenral,Not given,0,ياخي انتم مايعجبكم العجب يكفي انك لافطست يكفنك ويغسلك #الراجحي_أسوء_بنك_في_السعودية,Not given,https://twitter.com/aljyenral/status/453264300451581953,not noise,ياخي انتم مايعجبكم العجب يكفي انك لافطست يكفنك ويغسلك الراجحياسوءبنكفيالسعوديه,78,not null,0,1,related,negative,0,0,else,2014-04-07 20:13:25
2014-04-07 19:54:00,Daiqassim,Not given,0,#الراجحي_أسوء_بنك_في_السعودية على أساس أن البنوك الأخرى خدمات عال العال !,Not given,https://twitter.com/Daiqassim/status/453259414519443456,not noise,الراجحياسوءبنكفيالسعوديه علي اساس ان البنوك الاخري خدمات عال العال,67,not null,0,1,related,neutral,0,0,else,2014-04-07 19:54:00
2014-04-07 19:40:57,to3toot,Not given,2,#الراجحي_أسوء_بنك_في_السعودية حتى الراجحي ماسلم ياااااعوذه يكفي انوه يكفنكك لافطست,Not given,https://twitter.com/to3toot/status/453256131654463488,not noise,الراجحياسوءبنكفيالسعوديه حتي الراجحي ماسلم ياعوذه يكفي انوه يكفنك لافطست,72,not null,0,1,related,negative,0,0,else,2014-04-07 19:40:57
2014-04-07 19:24:18,mutaab201,Not given,0,#الراجحي_أسوء_بنك_في_السعودية الواحد رصيده ٣٠٠ريال ويقيم بنك راس ماله فوق ١٧ مليار احمد ربك وهم استقبلوك يالوليد,Not given,https://twitter.com/mutaab201/status/453251943138615296,not noise,الراجحياسوءبنكفيالسعوديه الواحد رصيده ٣٠ريال ويقيم بنك راس ماله فوق ١٧ مليار احمد ربك وهم استقبلوك يالوليد,106,not null,0,1,related,neutral,0,0,else,2014-04-07 19:24:18
